countyFIPS,PopulationDensityperSqMile2010,PopulationEstimate2018,#ICU_beds,MedianAge2010,Smokers_Percentage,DiabetesPercentage,HeartDiseaseMortality,#Hospitals
45007,261.6,200482.0,40.0,39.7,17.546998452,12.1,166.2,1.0
26077,445.7,264870.0,34.0,34.1,18.001410648,9.7,161.2,2.0
55117,225.9,115456.0,13.0,40.3,15.390951570999999,6.0,160.8,2.0
37155,141.4,131831.0,25.0,34.4,24.057594215,14.9,216.2,1.0
45015,161.8,221091.0,0.0,34.5,15.751734455,11.8,150.4,0.0
37179,318.7,235908.0,14.0,36.2,14.670660455,8.1,158.5,1.0
24027,1145.0,323196.0,16.0,38.4,9.0191011429,8.0,114.0,1.0
17167,227.4,195348.0,99.0,39.2,16.901595992,9.6,171.0,2.0
45013,281.5,188715.0,24.0,40.6,12.818830372,6.9,105.5,2.0
37101,213.4,202675.0,24.0,36.3,17.681758712,8.8,188.4,1.0
34015,895.3,291408.0,14.0,38.7,15.611318452,8.7,185.4,1.0
42079,360.5,317646.0,71.0,42.5,19.307997325,8.8,197.3,3.0
12113,149.6,179349.0,16.0,39.2,19.218047737,9.9,172.1,3.0
49053,56.9,171700.0,32.0,32.5,8.8506644013,6.7,102.1,1.0
53005,103.0,201877.0,44.0,35.6,13.078767464,8.1,150.1,3.0
13313,353.2,104062.0,34.0,34.0,17.74828459,11.6,162.3,1.0
48329,152.0,172578.0,48.0,33.5,12.504052855,6.7,176.9,1.0
55027,101.4,87847.0,10.0,40.7,15.475755585,9.6,160.9,2.0
42095,805.4,304807.0,64.0,40.9,16.080490415,9.2,150.7,4.0
17143,301.2,180621.0,107.0,36.8,16.59556525,9.5,172.2,3.0
28047,326.0,206650.0,57.0,35.3,21.678630446,10.4,249.5,3.0
48451,72.4,118189.0,29.0,34.3,14.144435869,11.6,128.9,2.0
33011,457.4,415247.0,62.0,39.3,13.527797003,8.4,146.9,5.0
21227,210.1,131264.0,52.0,32.7,19.827325188,8.1,180.4,2.0
34001,494.1,265429.0,64.0,39.9,15.644194800000001,10.4,203.7,2.0
38035,46.6,70770.0,26.0,29.7,16.162835152,9.4,147.4,2.0
04005,7.2,142854.0,41.0,31.0,15.990186028,7.7,124.3,3.0
46103,36.4,111729.0,38.0,36.8,16.242880489,8.4,146.5,3.0
45041,171.1,138159.0,98.0,37.6,18.043963314000003,14.3,220.2,3.0
08035,339.7,342776.0,54.0,36.6,10.723985988999999,4.6,86.9,3.0
17113,143.3,172828.0,30.0,32.1,14.973773714000002,11.0,160.3,2.0
36027,373.9,293718.0,51.0,40.2,15.040865509000001,7.7,178.6,2.0
37129,1058.1,232274.0,57.0,37.3,15.852352644000002,6.8,147.5,2.0
39165,530.0,232173.0,57.0,37.8,15.228085463,9.5,155.9,1.0
55063,253.8,118230.0,52.0,35.2,14.832192712000001,6.0,137.4,2.0
51760,3414.7,228783.0,159.0,32.0,19.533257502,11.8,183.3,3.0
26065,505.1,292735.0,219.0,31.4,17.751105135,9.3,180.9,2.0
53011,676.3,481857.0,90.0,36.7,14.041929032,9.0,137.1,2.0
51710,4486.4,244076.0,113.0,29.7,19.25546929,12.1,192.7,3.0
17161,345.0,143477.0,58.0,40.0,16.597852904,12.1,193.4,2.0
48441,143.6,137640.0,110.0,32.8,15.277754787000001,7.5,221.3,2.0
37001,356.5,166436.0,20.0,38.7,17.098560247,11.0,153.5,1.0
08069,115.4,350518.0,55.0,35.5,12.667672587,4.7,116.2,5.0
18157,345.7,193048.0,30.0,27.7,19.117014050999998,8.3,187.1,2.0
05131,236.4,127753.0,69.0,36.7,21.649019947,11.1,215.4,2.0
13117,783.5,236612.0,24.0,36.9,12.546139504000001,7.3,138.6,1.0
